Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,gol_casa,gol_trasferta,risultato_1X2,xg_casa,xg_trasferta,pos_classifica_casa,pos_classifica_trasferta,punti_totali_casa,punti_totali_trasferta,punti_m5_pond_gen_casa,punti_m5_pond_gen_trasferta,punti_m5_pond_split_casa,punti_m5_pond_split_trasferta,xg_m5_pond_gen_casa,xg_m5_pond_gen_trasferta,xg_m5_pond_split_casa,xg_m5_pond_split_trasferta,xga_m5_pond_gen_casa,xga_m5_pond_gen_trasferta,xga_m5_pond_split_casa,xga_m5_pond_split_trasferta,gf_m5_pond_gen_casa,gf_m5_pond_gen_trasferta,gf_m5_pond_split_casa,gf_m5_pond_split_trasferta,gs_m5_pond_gen_casa,gs_m5_pond_gen_trasferta,gs_m5_pond_split_casa,gs_m5_pond_split_trasferta,diff_xg_gol_m5_gen_casa,diff_xg_gol_m5_gen_trasferta,h2h_punti_m5_casa,h2h_punti_m5_trasferta,h2h_gf_m5_casa,h2h_gs_m5_casa,h2h_xg_m5_casa,h2h_xg_m5_trasferta,h2h_split_punti_m5_casa,h2h_split_gf_m5_casa,giorni_riposo_casa,giorni_riposo_trasferta,partite_14gg_casa,partite_14gg_trasferta,is_derby,dist_champions_casa,dist_champions_trasferta,dist_europa_casa,dist_europa_trasferta,dist_salvezza_casa,dist_salvezza_trasferta,giornata_stagione,meta_stagione,tiri_m5_gen_casa,tiri_m5_gen_trasferta,tiri_porta_m5_gen_casa,tiri_porta_m5_gen_trasferta,corner_m5_gen_casa,corner_m5_gen_trasferta,cartellini_m5_gen_casa,cartellini_m5_gen_trasferta
F1,2015-01-10,Bastia,Paris SG,1533.85,1848.32,4,2,1,1.45,1.31,19,3,18,38,1.1333333333333333,1.2666666666666666,1.6,1.4666666666666666,1.2646666666666666,1.4246666666666667,1.1753333333333331,2.108,0.6313333333333334,0.4266666666666667,0.7066666666666668,1.2046666666666668,1.0666666666666669,0.6,1.2666666666666666,1.3333333333333333,0.9333333333333332,0.6,0.7333333333333333,1.2,0.1979999999999999,0.8246666666666668,0.0,3.0,0.2,3.2,0.16,1.51,0.6,0.4,14.0,14.0,0,0,0,-18,2,-13,7,-1,19,20,2,11.466666666666669,13.066666666666666,3.8,4.133333333333334,4.066666666666666,6.2,2.6,1.5333333333333334
F1,2015-01-10,Evian Thonon Gaillard,Rennes,1539.58,1580.03,1,1,X,1.17,2.15,19,9,19,28,0.2,0.6,1.6,1.6,0.704,0.6460000000000001,0.958,0.5866666666666667,1.368,1.5326666666666668,1.66,0.914,0.8,0.7333333333333333,1.6,0.8666666666666667,2.2,2.466666666666667,1.2666666666666666,1.0666666666666669,-0.096,-0.0873333333333331,1.4,1.4,1.6,2.0,1.06,1.82,1.0,2.0,3.0,14.0,1,0,0,-17,-8,-12,-3,0,9,20,2,6.733333333333333,7.6,2.466666666666667,2.0,3.4,2.933333333333333,1.6,2.066666666666667
F1,2015-01-10,Guingamp,Lens,1548.81,1513.57,2,0,1,2.28,0.49,13,18,22,19,2.1333333333333333,1.6666666666666667,2.2,0.5333333333333333,1.1273333333333333,1.352666666666667,1.3133333333333337,1.094666666666667,1.0153333333333334,1.094666666666667,1.0873333333333333,1.629333333333333,1.8666666666666667,1.8,1.9333333333333331,1.2666666666666666,1.0,1.2666666666666666,0.9333333333333332,2.0,-0.7393333333333334,-0.4473333333333333,1.8,1.2,0.8,1.0,1.0,0.91,2.0,0.6666666666666666,14.0,14.0,0,0,0,-14,-17,-9,-12,2,-1,20,2,9.666666666666666,13.266666666666667,4.066666666666666,4.8,4.466666666666667,5.066666666666666,0.9333333333333332,2.6666666666666665
F1,2015-01-10,Lille,Caen,1635.74,1506.92,1,0,1,1.19,0.19,12,20,24,15,1.8,0.4,2.1333333333333333,0.2666666666666666,0.9926666666666664,0.8320000000000001,1.368,0.518,0.9906666666666666,2.3506666666666667,1.1993333333333334,3.058,1.4,0.9333333333333332,1.5333333333333334,1.0,0.7333333333333333,2.466666666666667,0.4666666666666667,3.2,-0.4073333333333334,-0.1013333333333332,3.0,0.0,2.8,0.8,0.95,0.27,2.6,3.0,3.0,14.0,1,0,0,-12,-21,-7,-16,4,-5,20,2,11.2,11.8,3.533333333333333,2.6666666666666665,2.466666666666667,3.6,1.0,1.6666666666666667
F1,2015-01-10,Nice,Lorient,1544.58,1559.81,3,1,1,2.64,0.2,13,16,22,20,0.8666666666666667,1.1333333333333333,0.5333333333333333,1.0,0.882,2.155333333333333,0.7853333333333333,1.4226666666666667,1.11,1.4373333333333336,0.68,2.254,0.7333333333333333,1.8666666666666667,0.4,1.7333333333333334,1.4,1.8,1.0,2.0,0.1486666666666667,0.2886666666666664,0.6,1.8,0.6,1.4,0.33,1.03,2.0,1.4,14.0,14.0,0,0,0,-14,-16,-9,-11,2,0,20,2,8.533333333333333,17.733333333333334,3.8,7.266666666666667,5.466666666666667,4.933333333333334,1.8,0.4666666666666667
F1,2015-01-10,Reims,St Etienne,1571.99,1692.21,1,2,2,1.24,1.26,10,4,28,36,2.0,2.466666666666667,2.2,1.6666666666666667,1.0726666666666669,1.008,1.3906666666666667,1.0553333333333337,0.838,0.61,0.8286666666666667,0.6033333333333333,2.466666666666667,1.6666666666666667,2.2666666666666666,0.7333333333333333,1.8,0.0,1.6666666666666667,0.1333333333333333,-1.394,-0.6586666666666667,0.6,1.8,0.8,2.0,0.29,2.43,1.0,1.5,14.0,14.0,0,0,0,-8,0,-3,5,8,16,20,2,12.866666666666667,10.0,4.933333333333334,3.4,4.866666666666666,5.6,2.333333333333333,1.2666666666666666
E0,2015-01-10,Sunderland,Liverpool,1646.37,1802.87,0,1,2,0.25,2.16,15,8,20,29,0.7333333333333333,1.8666666666666667,0.4666666666666667,1.6,1.2053333333333334,2.186,1.064,1.2593333333333334,1.7333333333333334,0.972,0.916,1.232,1.0666666666666669,2.2,0.8666666666666667,1.0666666666666669,1.6666666666666667,1.4,2.1333333333333333,1.4666666666666666,0.1386666666666667,-0.0140000000000002,0.4,2.2,0.6,1.8,0.27,0.66,1.4,0.8,9.0,9.0,2,2,0,-16,-7,-13,-4,1,10,21,2,10.733333333333333,18.466666666666665,3.4,7.466666666666667,4.933333333333334,5.133333333333334,3.533333333333333,1.4666666666666666
E0,2015-01-10,Swansea,West Ham,1681.75,1704.92,1,1,X,1.55,0.73,9,7,29,32,1.3333333333333333,0.8,1.9333333333333331,0.9333333333333332,1.2586666666666666,1.0193333333333332,1.1853333333333331,0.8180000000000001,2.3713333333333333,2.1606666666666663,1.146,2.278,1.0,0.9333333333333332,1.2666666666666666,0.9333333333333332,1.5333333333333334,1.3333333333333333,0.7333333333333333,1.5333333333333334,0.2586666666666666,0.0859999999999998,0.8,2.0,0.8,1.2,1.0,2.12,2.0,1.5,9.0,9.0,2,2,0,-7,-4,-4,-1,10,13,21,2,15.4,10.2,4.066666666666666,2.8666666666666667,5.733333333333333,4.8,1.0,1.8666666666666667
E0,2015-01-10,West Brom,Hull,1607.58,1575.98,1,0,1,0.78,0.4,19,17,18,19,0.5333333333333333,1.6,0.8,1.2,1.5333333333333337,1.424,1.64,0.5299999999999999,1.542,0.9146666666666666,1.2073333333333334,1.344,0.8666666666666667,1.2666666666666666,0.8,1.2,1.8666666666666667,0.7333333333333333,1.6666666666666667,1.5333333333333334,0.666666666666667,0.1573333333333333,0.6,1.8,0.6,1.6,1.06,0.59,0.5,0.5,9.0,9.0,2,2,0,-18,-17,-15,-14,-1,0,21,2,15.266666666666667,14.066666666666666,4.4,4.4,4.866666666666666,4.8,0.8,1.8666666666666667
E0,2015-01-10,Chelsea,Newcastle,1949.94,1667.12,2,0,1,1.08,0.39,1,10,46,27,1.4666666666666666,1.1333333333333333,3.0,0.4,2.137333333333333,1.2613333333333334,2.591333333333333,0.8733333333333333,0.924,1.6606666666666663,0.3746666666666666,1.5913333333333337,2.066666666666667,2.066666666666667,2.2,0.9333333333333332,1.9333333333333331,2.533333333333333,0.0666666666666666,2.4,0.0706666666666659,-0.8053333333333335,1.2,1.8,1.6,1.4,2.16,1.49,1.6,1.4,9.0,9.0,2,2,0,10,-9,13,-6,27,8,21,2,16.6,11.066666666666666,5.4,4.933333333333334,5.2,6.133333333333334,1.0666666666666669,2.2666666666666666
E0,2015-01-10,Everton,Man City,1758.46,1945.55,1,1,X,0.95,1.51,13,2,21,46,0.2,2.466666666666667,1.4666666666666666,2.8666666666666667,0.9373333333333336,2.264,1.1133333333333333,1.606666666666667,1.7486666666666666,1.236,0.9806666666666668,1.2886666666666666,0.7333333333333333,2.6,1.2666666666666666,2.6,2.1333333333333333,1.4,0.9333333333333332,0.6666666666666666,0.2040000000000001,-0.3360000000000003,0.8,2.0,1.2,1.6,0.39,2.25,2.4,1.8,9.0,9.0,2,2,0,-15,10,-12,13,2,27,21,2,11.2,19.6,3.4,7.266666666666667,6.133333333333334,8.4,2.466666666666667,2.333333333333333
E0,2015-01-10,Leicester,Aston Villa,1593.65,1618.71,1,0,1,2.37,0.61,20,13,14,22,1.1333333333333333,0.7333333333333333,0.1333333333333333,0.8,0.8173333333333334,1.0159999999999998,1.02,0.766,1.7959999999999998,0.7786666666666666,1.1706666666666667,1.1506666666666665,1.1333333333333333,0.1333333333333333,0.5333333333333333,0.3333333333333333,1.4,0.4,1.6,0.7333333333333333,-0.3159999999999999,0.8826666666666665,0.8,2.0,1.2,2.4,1.01,1.98,0.6666666666666666,0.6666666666666666,9.0,9.0,2,2,0,-22,-14,-19,-11,-5,3,21,2,12.6,12.4,3.333333333333333,3.066666666666667,5.2,3.2666666666666666,1.8,2.1333333333333333
E0,2015-01-10,Crystal Palace,Tottenham,1607.67,1767.54,2,1,1,2.86,0.92,19,5,17,34,0.6666666666666666,2.466666666666667,0.6666666666666666,2.4,0.492,1.4006666666666665,0.6673333333333333,1.1633333333333336,1.0806666666666669,2.1066666666666665,0.8866666666666667,1.4653333333333332,0.2666666666666666,2.466666666666667,1.0666666666666669,1.6,1.0666666666666669,1.4,1.8,1.4,0.2253333333333333,-1.0660000000000005,1.0,1.6,0.8,0.8,1.17,0.96,1.5,1.5,9.0,9.0,2,2,0,-19,-2,-16,1,-2,15,21,2,8.333333333333334,11.4,1.9333333333333331,5.4,4.733333333333333,4.466666666666667,1.0666666666666669,2.333333333333333
F1,2015-01-11,Lyon,Toulouse,1735.82,1555.17,3,0,1,1.52,0.51,2,15,39,21,2.8,0.7333333333333333,3.0,0.8,3.132,0.7873333333333332,2.345333333333333,0.5653333333333334,0.9766666666666668,1.7459999999999998,0.842,1.7766666666666666,3.333333333333333,0.7333333333333333,2.6,0.6666666666666666,0.7333333333333333,1.8666666666666667,0.5333333333333333,2.066666666666667,-0.2013333333333338,0.0539999999999999,1.0,1.6,1.0,1.4,1.29,1.44,2.6,2.2,14.0,14.0,0,0,0,1,-17,8,-10,19,1,20,2,19.2,8.666666666666666,8.666666666666666,2.6666666666666665,4.666666666666667,4.4,1.3333333333333333,2.1333333333333333
