Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,gol_casa,gol_trasferta,risultato_1X2,xg_casa,xg_trasferta,pos_classifica_casa,pos_classifica_trasferta,punti_totali_casa,punti_totali_trasferta,punti_m5_pond_gen_casa,punti_m5_pond_gen_trasferta,punti_m5_pond_split_casa,punti_m5_pond_split_trasferta,xg_m5_pond_gen_casa,xg_m5_pond_gen_trasferta,xg_m5_pond_split_casa,xg_m5_pond_split_trasferta,xga_m5_pond_gen_casa,xga_m5_pond_gen_trasferta,xga_m5_pond_split_casa,xga_m5_pond_split_trasferta,gf_m5_pond_gen_casa,gf_m5_pond_gen_trasferta,gf_m5_pond_split_casa,gf_m5_pond_split_trasferta,gs_m5_pond_gen_casa,gs_m5_pond_gen_trasferta,gs_m5_pond_split_casa,gs_m5_pond_split_trasferta,diff_xg_gol_m5_gen_casa,diff_xg_gol_m5_gen_trasferta,h2h_punti_m5_casa,h2h_punti_m5_trasferta,h2h_gf_m5_casa,h2h_gs_m5_casa,h2h_xg_m5_casa,h2h_xg_m5_trasferta,h2h_split_punti_m5_casa,h2h_split_gf_m5_casa,giorni_riposo_casa,giorni_riposo_trasferta,partite_14gg_casa,partite_14gg_trasferta,is_derby,dist_champions_casa,dist_champions_trasferta,dist_europa_casa,dist_europa_trasferta,dist_salvezza_casa,dist_salvezza_trasferta,giornata_stagione,meta_stagione,tiri_m5_gen_casa,tiri_m5_gen_trasferta,tiri_porta_m5_gen_casa,tiri_porta_m5_gen_trasferta,corner_m5_gen_casa,corner_m5_gen_trasferta,cartellini_m5_gen_casa,cartellini_m5_gen_trasferta
E0,2015-01-17,Aston Villa,Liverpool,1609.8,1802.0,0,2,2,0.85,1.54,13,8,22,32,0.5333333333333333,2.333333333333333,1.2666666666666666,2.2,0.932,2.244,1.092,1.616,1.2660000000000002,0.7053333333333334,0.8260000000000001,0.8693333333333334,0.0666666666666666,1.9333333333333331,0.5333333333333333,1.0666666666666669,0.5333333333333333,0.8666666666666667,0.4,0.9333333333333332,0.8653333333333334,0.3106666666666664,1.4,1.4,1.4,1.2,0.7,0.73,0.6,0.4,7.0,7.0,1,1,0,-15,-5,-12,-2,2,12,22,2,12.666666666666666,19.133333333333333,2.4,6.2,4.333333333333333,5.2,2.0,2.2666666666666666
E0,2015-01-17,QPR,Man United,1572.84,1837.43,0,2,2,0.93,1.56,19,4,19,37,0.6666666666666666,0.9333333333333332,1.8,1.4,1.8493333333333333,1.416,2.166,1.3186666666666669,1.6213333333333333,1.1166666666666667,1.2226666666666666,1.2006666666666668,0.9333333333333332,0.7333333333333333,1.4,0.9333333333333332,1.3333333333333333,0.8,0.8666666666666667,0.7333333333333333,0.916,0.6826666666666669,0.0,3.0,0.2,2.6,0.56,2.21,0.0,0.0,7.0,6.0,1,1,0,-18,0,-16,2,-1,17,22,2,17.533333333333335,9.0,5.266666666666667,2.6666666666666665,5.466666666666667,5.2,2.7333333333333334,1.6666666666666667
E0,2015-01-17,Swansea,Chelsea,1679.28,1936.41,0,5,2,0.21,3.2,9,1,30,49,1.2,1.8,1.6,0.9333333333333332,1.346666666666667,1.844666666666667,1.3153333333333337,1.7773333333333332,1.9866666666666664,0.8099999999999999,0.974,1.0973333333333335,1.0,2.066666666666667,1.1333333333333333,1.8,1.4,1.5333333333333334,0.8,2.2,0.3466666666666667,-0.2220000000000002,0.2,2.6,0.6,1.8,1.02,3.57,0.6666666666666666,0.6666666666666666,7.0,7.0,1,1,0,-10,9,-5,14,10,29,22,2,17.0,14.2,3.8666666666666663,5.333333333333333,5.2,5.733333333333333,0.5333333333333333,1.3333333333333333
E0,2015-01-17,Tottenham,Sunderland,1772.43,1639.28,2,1,1,0.93,1.2,7,16,34,20,1.6,0.4,2.2,1.0666666666666669,1.2693333333333334,0.8413333333333334,1.401333333333333,1.084666666666667,2.453333333333333,1.9926666666666668,1.9626666666666663,1.6973333333333334,2.066666666666667,0.7333333333333333,2.2,0.8666666666666667,1.6666666666666667,1.5333333333333334,1.2666666666666666,1.0,-0.7973333333333334,0.1080000000000001,2.6,0.2,2.4,1.0,2.04,0.34,2.6,2.0,7.0,7.0,1,1,0,-6,-20,-1,-15,14,0,22,2,10.333333333333334,8.4,5.4,2.6,4.666666666666667,5.266666666666667,2.533333333333333,3.066666666666667
E0,2015-01-17,Newcastle,Southampton,1661.07,1777.98,1,2,2,0.86,0.43,11,3,27,39,0.8666666666666667,2.6,1.7333333333333334,1.8666666666666667,1.0026666666666666,1.456,1.35,1.2086666666666666,1.41,0.818,1.5893333333333337,0.9693333333333332,1.5333333333333334,1.6666666666666667,2.1333333333333333,1.2,2.333333333333333,0.3333333333333333,1.8666666666666667,0.6666666666666666,-0.5306666666666668,-0.2106666666666667,0.8,2.0,1.0,2.6,1.15,2.12,2.6,2.0,7.0,6.0,1,1,0,-10,2,-8,4,7,19,22,2,11.0,10.733333333333333,4.933333333333334,3.1333333333333333,5.4,3.8,2.466666666666667,2.2
F1,2015-01-18,Paris SG,Evian Thonon Gaillard,1828.52,1534.61,4,2,1,3.43,0.4,4,18,38,20,0.7333333333333333,0.3333333333333333,2.333333333333333,0.4,1.2853333333333334,0.8266666666666665,1.562,0.6653333333333333,0.7386666666666667,1.5366666666666666,0.2586666666666667,1.2339999999999998,1.0,0.7333333333333333,1.2,0.6666666666666666,1.7333333333333334,1.8,0.2666666666666666,2.0,0.2853333333333334,0.0933333333333332,2.0,0.8,1.2,0.4,0.39,0.63,3.0,2.6666666666666665,8.0,8.0,1,2,0,0,-18,6,-12,18,0,21,2,12.133333333333333,7.4,4.066666666666666,2.533333333333333,4.266666666666667,4.466666666666667,1.4,1.9333333333333331
F1,2015-01-18,Rennes,St Etienne,1580.83,1699.17,0,0,X,0.6,0.53,9,4,29,39,0.5333333333333333,2.6,1.2,2.066666666666667,1.104,1.032,1.1066666666666665,1.0686666666666669,1.4153333333333336,0.7473333333333334,1.5593333333333337,0.7900000000000001,0.7333333333333333,1.7333333333333334,1.0,1.1333333333333333,2.1333333333333333,0.3333333333333333,2.066666666666667,0.4,0.3706666666666668,-0.7013333333333334,1.2,1.2,1.0,1.0,0.36,1.16,1.8,1.4,8.0,8.0,1,1,0,-10,0,-3,7,9,19,21,2,8.8,11.2,3.6,4.133333333333334,3.533333333333333,5.6,1.4666666666666666,1.2
F1,2015-01-18,Marseille,Guingamp,1700.25,1556.41,2,1,1,1.13,1.32,2,13,41,25,1.2666666666666666,2.466666666666667,3.0,1.3333333333333333,1.092,1.4986666666666664,1.5893333333333333,0.9613333333333334,0.652,0.868,0.8486666666666667,1.0073333333333332,1.3333333333333333,1.8666666666666667,2.4,1.4,1.3333333333333333,0.6,0.8,1.7333333333333334,-0.2413333333333334,-0.3680000000000003,2.4,0.6,1.2,0.6,0.71,0.45,2.25,1.5,9.0,8.0,1,1,0,3,-13,9,-7,21,5,21,2,12.666666666666666,10.8,3.6666666666666665,3.466666666666667,5.8,5.6,1.7333333333333334,0.8666666666666667
E0,2015-01-18,West Ham,Hull,1701.86,1585.93,3,0,1,2.69,0.42,8,18,33,19,0.8,1.2,1.5333333333333334,0.9333333333333332,0.9273333333333332,1.1700000000000002,1.3219999999999998,0.506,2.0073333333333334,0.8300000000000001,1.5513333333333337,1.155333333333333,0.9333333333333332,0.9333333333333332,1.4666666666666666,0.9333333333333332,1.2666666666666666,0.7333333333333333,1.0,1.3333333333333333,-0.006,0.2366666666666668,1.6,1.0,2.0,1.4,0.66,0.44,3.0,2.333333333333333,8.0,8.0,1,1,0,-7,-21,-4,-18,13,-1,22,2,10.066666666666666,13.8,3.4,3.8666666666666663,4.466666666666667,3.933333333333333,1.6,1.1333333333333333
E0,2015-01-18,Man City,Arsenal,1943.1,1849.93,0,2,2,0.56,1.49,2,6,47,36,1.9333333333333331,2.066666666666667,2.466666666666667,1.2,2.123333333333333,1.9906666666666664,2.313333333333333,1.6693333333333331,1.1726666666666667,1.2486666666666666,0.8506666666666668,1.7180000000000002,2.1333333333333333,1.8,2.4,1.2666666666666666,1.4,1.0,1.2666666666666666,1.7333333333333334,-0.0099999999999997,0.1906666666666665,1.8,0.6,2.4,1.4,2.31,2.08,2.0,2.4,8.0,7.0,1,1,0,7,-4,11,0,27,16,22,2,20.133333333333333,14.266666666666667,5.933333333333334,5.866666666666666,9.0,7.666666666666667,2.2666666666666666,1.3333333333333333
E0,2015-01-19,Everton,West Brom,1746.28,1617.94,0,0,X,1.49,0.2,13,15,22,21,0.3333333333333333,1.2666666666666666,1.2666666666666666,0.4666666666666667,0.9613333333333334,1.2693333333333332,1.0286666666666666,1.1433333333333335,1.7020000000000002,1.1626666666666667,1.1853333333333331,1.6693333333333331,0.7333333333333333,0.8666666666666667,1.2,0.7333333333333333,1.8,1.2666666666666666,1.0,1.6,0.2280000000000001,0.4026666666666665,1.6,1.0,1.0,0.8,0.81,0.6,2.0,1.4,9.0,9.0,1,1,0,-18,-19,-15,-16,2,1,22,2,10.866666666666667,13.2,3.466666666666667,3.8,5.666666666666667,4.6,2.1333333333333333,0.7333333333333333
F1,2015-01-23,Nice,Marseille,1554.0,1700.25,2,1,1,2.0,1.59,10,2,28,44,2.1333333333333333,1.8,1.4,0.2,1.332,1.0166666666666666,1.3633333333333335,1.0286666666666666,0.8993333333333332,0.8320000000000001,0.4986666666666667,0.976,1.6666666666666667,1.5333333333333334,1.2666666666666666,0.5333333333333333,1.1333333333333333,1.2666666666666666,0.9333333333333332,1.4666666666666666,-0.3346666666666666,-0.5166666666666668,1.4,1.4,0.8,1.4,0.7,4.69,1.4,0.8,7.0,5.0,2,2,0,-12,4,-4,12,8,24,22,2,11.2,13.533333333333331,4.333333333333333,4.466666666666667,6.2,5.533333333333333,2.6666666666666665,2.2666666666666666
SP1,2015-01-24,Elche,Barcelona,1638.88,2012.35,0,6,2,0.35,3.51,16,2,17,44,2.0,2.2666666666666666,1.3333333333333333,1.8,1.3873333333333335,2.3946666666666667,1.344,1.816,1.5033333333333334,0.6033333333333334,1.4980000000000002,0.5866666666666667,1.4,2.8,1.2,1.6,1.0,0.4666666666666667,1.3333333333333333,0.3333333333333333,-0.0126666666666663,-0.4053333333333331,0.3333333333333333,2.333333333333333,0.0,2.333333333333333,0.11,1.54,1.0,0.0,6.0,6.0,2,2,0,-22,5,-18,9,0,27,20,2,12.6,16.266666666666666,5.6,6.0,3.733333333333333,4.6,3.8,2.4
SP1,2015-01-24,Ath Madrid,Vallecano,1956.2,1669.15,3,1,1,1.49,0.7,3,10,41,23,2.0,1.6,2.4,2.2,1.584,1.456,1.6366666666666667,1.2713333333333334,1.2199999999999998,0.9486666666666664,0.3213333333333333,1.2193333333333334,2.066666666666667,0.8666666666666667,1.9333333333333331,1.0666666666666669,1.2,1.0666666666666669,0.5333333333333333,1.2,-0.482666666666667,0.5893333333333333,2.0,0.8,2.8,1.4,0.9,0.36,3.0,3.5,6.0,7.0,2,2,0,2,-16,6,-12,24,6,20,2,9.333333333333334,16.2,3.466666666666667,4.733333333333333,3.8,4.4,3.8,3.1333333333333333
SP1,2015-01-24,Villarreal,Levante,1810.52,1687.92,1,0,1,1.3,1.03,6,19,35,16,2.066666666666667,0.4666666666666667,2.8,0.2666666666666666,1.9653333333333327,0.8493333333333334,2.025333333333333,0.8919999999999999,0.8113333333333335,1.4293333333333331,0.5633333333333332,1.6273333333333333,1.8,0.3333333333333333,2.6,0.4666666666666667,0.6666666666666666,1.0666666666666669,0.3333333333333333,1.4666666666666666,0.1653333333333331,0.516,1.8,1.2,1.2,0.8,3.01,0.35,1.8,1.6,7.0,6.0,2,1,0,-4,-23,0,-19,18,-1,20,2,14.8,9.666666666666666,5.533333333333333,1.9333333333333331,6.4,4.733333333333333,2.6,3.6
F1,2015-01-24,Lille,Monaco,1643.42,1725.69,0,1,2,0.74,0.91,13,5,27,36,1.6,2.466666666666667,2.6,2.1333333333333333,0.8886666666666666,1.462,1.26,1.2093333333333334,0.8973333333333334,0.9713333333333334,0.8133333333333332,0.7446666666666667,0.8,0.8,1.4,1.2,0.6,0.0,0.2,0.6,0.0886666666666665,0.6619999999999999,1.6,1.0,1.2,0.8,0.21,1.74,2.4,2.0,7.0,7.0,2,2,0,-13,-4,-6,3,7,16,22,2,12.6,11.666666666666666,3.733333333333333,3.733333333333333,5.2,6.533333333333333,0.9333333333333332,1.3333333333333333
F1,2015-01-24,Guingamp,Lorient,1556.41,1550.38,3,2,1,2.31,1.86,13,15,25,23,1.6,1.4,2.6,0.6,1.4366666666666668,1.538,1.614,1.084,0.962,1.3793333333333335,0.7833333333333333,2.5046666666666666,1.4,1.3333333333333333,2.0,1.5333333333333334,1.0,1.5333333333333334,0.3333333333333333,2.466666666666667,0.0366666666666668,0.2046666666666667,1.2,1.8,1.6,3.0,0.61,2.05,3.0,3.0,6.0,7.0,2,2,0,-15,-17,-8,-10,5,3,22,2,10.8,14.133333333333333,3.333333333333333,5.6,5.2,4.4,0.8,0.8666666666666667
F1,2015-01-24,Montpellier,Nantes,1609.27,1591.03,4,0,1,1.41,0.56,7,8,32,31,2.333333333333333,1.2666666666666666,1.8666666666666667,1.0,1.4853333333333334,0.8366666666666667,1.0233333333333334,0.8733333333333334,0.93,1.8,0.8226666666666667,2.014,2.2,0.7333333333333333,1.8666666666666667,0.8666666666666667,1.3333333333333333,0.8,1.5333333333333334,1.3333333333333333,-0.7146666666666668,0.1033333333333333,0.8,2.0,1.4,1.4,0.13,1.27,2.0,2.0,7.0,7.0,1,2,0,-8,-9,-1,-2,12,11,22,2,10.4,11.066666666666666,4.066666666666666,2.6,4.6,4.066666666666666,1.4666666666666666,0.8666666666666667
F1,2015-01-24,Bastia,Bordeaux,1553.65,1621.85,0,0,X,1.39,0.96,15,7,22,32,1.7333333333333334,0.4666666666666667,2.1333333333333333,0.7333333333333333,1.1146666666666667,1.162,1.2766666666666666,0.8553333333333334,0.628,1.3166666666666669,0.8346666666666667,1.1233333333333335,1.8666666666666667,0.6666666666666666,2.2,0.5333333333333333,1.1333333333333333,2.066666666666667,1.0666666666666669,1.0,-0.752,0.4953333333333333,1.4,1.4,1.0,0.8,1.03,1.36,1.8,1.4,7.0,8.0,2,2,0,-18,-8,-10,0,2,12,22,2,7.333333333333333,10.266666666666667,3.0,4.533333333333333,2.4,2.8666666666666667,2.2,1.4666666666666666
I1,2015-01-24,Cagliari,Sassuolo,1538.11,1572.6,2,1,1,1.68,0.56,18,11,16,25,1.2,1.3333333333333333,1.0666666666666669,1.4666666666666666,1.1953333333333334,1.6833333333333331,1.404,1.442,1.6106666666666667,1.6673333333333331,1.5466666666666669,2.048666666666667,1.3333333333333333,1.8666666666666667,1.0,2.066666666666667,2.333333333333333,1.7333333333333334,2.1333333333333333,1.9333333333333331,-0.1379999999999999,-0.1833333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,0.85,1.08,1.0,2.0,6.0,6.0,2,2,0,-17,-8,-14,-5,-2,7,20,2,11.533333333333331,14.6,4.466666666666667,5.6,4.866666666666666,6.4,3.2,3.6
I1,2015-01-24,Lazio,Milan,1681.53,1698.8,3,1,1,2.62,0.1,5,8,31,26,1.2,0.6,1.6,0.8,1.334,0.8006666666666667,1.5766666666666669,0.9366666666666668,0.6653333333333333,1.414,0.6513333333333333,1.8393333333333333,1.6,0.6,1.6666666666666667,0.6666666666666666,1.1333333333333333,1.0,0.8666666666666667,0.8666666666666667,-0.2660000000000002,0.2006666666666667,1.0,1.6,1.2,2.0,2.04,2.01,1.6,1.6,6.0,6.0,2,2,0,-2,-7,1,-4,12,7,20,2,16.866666666666667,11.666666666666666,5.333333333333333,3.533333333333333,6.066666666666666,5.933333333333334,3.0,2.933333333333333
SP1,2015-01-25,La Coruna,Granada,1639.83,1635.74,2,2,X,1.87,0.26,16,20,17,14,1.0666666666666669,0.4,1.4666666666666666,0.0666666666666666,0.7386666666666667,1.0993333333333333,0.886,0.564,1.5826666666666669,1.318,1.2913333333333334,1.8133333333333328,0.2666666666666666,0.4666666666666667,0.4666666666666667,0.3333333333333333,1.7333333333333334,1.6,1.4666666666666666,2.2666666666666666,0.472,0.6326666666666666,0.3333333333333333,2.333333333333333,0.6666666666666666,2.0,0.38,0.55,0.0,0.0,7.0,7.0,1,2,0,-22,-25,-21,-24,0,-3,20,2,9.733333333333333,11.6,3.533333333333333,2.1333333333333333,3.2,6.333333333333333,2.4,2.4
SP1,2015-01-25,Ath Bilbao,Malaga,1753.71,1766.11,1,1,X,0.96,1.26,13,7,19,31,0.0666666666666666,0.8666666666666667,0.6,1.6,0.8613333333333333,0.6326666666666666,0.7686666666666667,0.7006666666666668,1.634,1.262,1.3173333333333332,1.628,0.4666666666666667,0.8,1.0666666666666669,0.9333333333333332,2.0,1.4666666666666666,2.066666666666667,1.3333333333333333,0.3946666666666666,-0.1673333333333334,1.4,1.4,1.0,0.6,1.14,1.32,1.8,1.6,8.0,7.0,2,1,0,-20,-8,-19,-7,2,14,20,2,10.866666666666667,10.933333333333334,3.8666666666666663,4.733333333333333,5.866666666666666,3.333333333333333,2.066666666666667,2.8666666666666667
SP1,2015-01-25,Espanol,Almeria,1688.01,1653.74,3,0,1,2.44,0.3,9,18,23,16,1.6,1.0,2.066666666666667,1.4666666666666666,1.2093333333333334,1.120666666666667,1.3826666666666667,1.103333333333333,1.0746666666666669,1.422666666666667,0.986,1.4833333333333334,1.0666666666666669,1.2666666666666666,1.3333333333333333,1.6666666666666667,1.4,2.0,0.9333333333333332,1.9333333333333331,0.1426666666666667,-0.1459999999999996,1.0,1.6,1.0,1.2,0.4,0.98,1.4,1.4,8.0,8.0,1,2,0,-16,-23,-15,-22,6,-1,20,2,12.666666666666666,10.533333333333331,4.066666666666666,3.533333333333333,5.533333333333333,3.2666666666666666,3.066666666666667,2.7333333333333334
SP1,2015-01-25,Valencia,Sevilla,1834.85,1831.95,3,1,1,2.66,1.98,5,4,38,39,2.466666666666667,2.7333333333333334,2.466666666666667,2.0,1.3686666666666667,1.3826666666666667,1.7446666666666668,0.9886666666666668,1.4766666666666666,0.7226666666666667,1.4059999999999997,1.466,2.0,1.4666666666666666,2.1333333333333333,1.2666666666666666,1.1333333333333333,0.0,1.0666666666666669,1.1333333333333333,-0.6313333333333333,-0.0839999999999998,1.6,1.0,1.8,1.2,1.75,1.17,1.8,1.6,8.0,7.0,1,2,0,-1,0,0,1,21,22,20,2,10.533333333333331,9.4,4.6,4.066666666666666,4.866666666666666,3.8,3.333333333333333,3.2
F1,2015-01-25,Evian Thonon Gaillard,Toulouse,1534.61,1550.63,1,0,1,0.44,1.34,18,16,20,22,0.2666666666666666,0.5333333333333333,1.3333333333333333,0.6,0.692,0.5013333333333333,1.0306666666666666,0.5373333333333332,2.102,1.3293333333333337,1.904,1.7393333333333332,1.0666666666666669,0.5333333333333333,1.4,0.4666666666666667,2.4,1.8666666666666667,1.2666666666666666,2.4,-0.3746666666666667,-0.032,1.0,1.6,0.6,1.4,0.71,0.85,2.0,1.3333333333333333,7.0,8.0,1,2,0,-20,-18,-15,-13,0,2,22,2,6.666666666666667,10.066666666666666,2.0,3.066666666666667,4.6,5.6,1.6,2.0
F1,2015-01-25,Lyon,Metz,1740.36,1510.76,2,0,1,1.5,0.19,1,18,45,20,3.0,0.2666666666666666,3.0,0.3333333333333333,2.1693333333333333,0.98,2.170666666666667,0.7073333333333333,0.8213333333333334,1.7040000000000002,0.6893333333333334,1.4733333333333334,3.066666666666667,0.8666666666666667,2.6666666666666665,0.4666666666666667,0.1333333333333333,1.8,0.3333333333333333,1.8666666666666667,-0.8973333333333335,0.1133333333333332,2.4,0.6,3.2,0.6,2.15,1.51,2.6,2.4,8.0,8.0,2,2,0,5,-20,10,-15,23,-2,22,2,12.8,10.733333333333333,6.6,3.8,2.6,5.4,0.8,1.6
F1,2015-01-25,Rennes,Caen,1580.83,1503.41,1,4,2,0.82,1.21,10,20,30,18,0.6,1.2,0.9333333333333332,0.1333333333333333,0.98,1.326,0.8513333333333333,0.394,1.0573333333333337,1.7833333333333334,1.3206666666666669,2.560666666666666,0.4666666666666667,1.6666666666666667,0.6,0.6,1.4,1.4,1.6,2.6,0.5133333333333333,-0.3406666666666667,2.0,0.8,1.4,0.8,1.17,0.42,1.6,1.4,7.0,8.0,1,1,0,-10,-22,-5,-17,8,-4,22,2,8.0,11.133333333333333,2.933333333333333,3.6666666666666665,3.466666666666667,4.733333333333333,1.2666666666666666,1.2
F1,2015-01-25,St Etienne,Paris SG,1699.17,1828.52,0,1,2,0.35,2.36,4,3,40,41,2.066666666666667,1.4,2.7333333333333334,0.8,0.87,1.884,1.2673333333333332,1.828,0.712,0.6286666666666666,0.948,1.2806666666666666,1.2,2.0,2.066666666666667,1.4,0.2666666666666666,1.9333333333333331,0.1333333333333333,2.1333333333333333,-0.3299999999999999,-0.1159999999999998,1.0,1.6,1.2,2.4,0.38,1.61,0.8,1.0,7.0,7.0,1,1,0,0,1,5,6,18,19,22,2,9.2,11.2,3.1333333333333333,5.2,6.533333333333333,4.933333333333334,1.1333333333333333,1.9333333333333331
I1,2015-01-25,Sampdoria,Palermo,1621.12,1597.51,1,1,X,1.16,0.99,5,10,33,26,2.0,1.2666666666666666,1.8,0.8,1.3146666666666669,1.674,1.236,1.1986666666666668,1.112,1.5653333333333337,0.9293333333333332,1.9393333333333331,1.2666666666666666,2.6666666666666665,1.5333333333333334,2.466666666666667,0.9333333333333332,1.8666666666666667,1.0666666666666669,2.6666666666666665,0.048,-0.9926666666666666,0.2,2.6,0.6,2.2,0.8,0.92,0.8,1.2,7.0,8.0,2,2,0,0,-7,2,-5,14,7,20,2,12.933333333333334,9.933333333333334,4.333333333333333,4.666666666666667,5.0,3.6666666666666665,1.7333333333333334,2.1333333333333333
I1,2015-01-25,Verona,Atalanta,1571.59,1565.56,1,0,1,2.22,0.72,14,15,21,20,1.2,1.6,1.0666666666666669,1.4666666666666666,1.0666666666666669,1.028,1.6633333333333336,0.724,1.0446666666666666,1.3146666666666669,1.389333333333333,1.6,0.9333333333333332,1.4,1.4,0.8666666666666667,1.8,1.2666666666666666,1.5333333333333334,1.1333333333333333,0.1333333333333333,-0.3719999999999999,2.0,0.8,1.4,0.8,0.73,0.88,3.0,2.333333333333333,7.0,7.0,2,2,0,-13,-14,-10,-11,2,1,20,2,8.8,12.8,3.333333333333333,5.2,1.9333333333333331,4.733333333333333,2.466666666666667,4.333333333333333
I1,2015-01-25,Parma,Cesena,1561.95,1433.46,1,2,2,1.0,0.76,19,20,10,9,0.6666666666666666,0.1333333333333333,1.0,0.2666666666666666,0.666,1.606666666666667,0.8580000000000001,1.0646666666666669,2.482,1.7406666666666666,2.0466666666666664,2.183333333333333,0.4666666666666667,1.3333333333333333,0.4,1.1333333333333333,1.7333333333333334,2.7333333333333334,1.0666666666666669,1.9333333333333331,0.1993333333333333,0.2733333333333334,1.2,1.2,1.4,1.2,0.44,1.09,2.0,2.0,7.0,7.0,2,2,0,-23,-24,-21,-22,-9,-10,20,2,7.066666666666666,11.733333333333333,1.2666666666666666,3.533333333333333,3.2,4.666666666666667,2.6666666666666665,3.2
I1,2015-01-25,Juventus,Chievo,1893.47,1545.95,2,0,1,2.34,0.63,1,18,46,18,2.466666666666667,0.8666666666666667,2.066666666666667,1.8666666666666667,1.3253333333333333,1.096666666666667,1.6333333333333333,0.95,0.654,1.1646666666666663,0.5226666666666667,0.8339999999999999,2.8,0.7333333333333333,2.533333333333333,1.1333333333333333,0.6666666666666666,1.0666666666666669,0.6,0.5333333333333333,-1.4746666666666666,0.3633333333333336,3.0,0.0,2.0,0.6,2.37,0.5,2.2,1.8,7.0,7.0,2,2,0,13,-15,15,-13,27,-1,20,2,13.333333333333334,14.4,6.466666666666667,5.333333333333333,6.2,6.0,1.0666666666666669,1.6666666666666667
I1,2015-01-25,Inter,Torino,1669.32,1613.92,0,1,2,0.47,1.07,8,13,26,22,1.6666666666666667,1.9333333333333331,1.6,1.4666666666666666,1.4126666666666667,1.596666666666667,1.7986666666666669,0.842,1.1053333333333333,1.476,1.236,1.612,1.4,1.5333333333333334,2.066666666666667,1.1333333333333333,0.7333333333333333,1.0666666666666669,1.5333333333333334,1.1333333333333333,0.0126666666666668,0.0633333333333332,1.8,0.6,1.6,1.0,1.31,1.1,2.2,2.2,8.0,7.0,2,1,0,-7,-11,-5,-9,7,3,20,2,12.866666666666667,13.2,3.933333333333333,4.0,4.933333333333334,3.2666666666666666,2.333333333333333,2.933333333333333
I1,2015-01-25,Fiorentina,Roma,1699.79,1775.73,1,1,X,1.12,1.25,6,2,30,41,2.1333333333333333,1.5333333333333334,1.6666666666666667,2.1333333333333333,2.32,1.026,1.7133333333333334,1.3306666666666669,1.3300000000000003,0.9533333333333334,1.294,0.9166666666666666,2.1333333333333333,1.1333333333333333,1.8,1.0666666666666669,1.5333333333333334,0.8666666666666667,1.4,0.6,0.1866666666666665,-0.1073333333333332,0.0,3.0,0.6,2.0,0.38,2.24,0.8,1.0,7.0,8.0,2,2,0,-3,8,0,11,11,22,20,2,19.666666666666668,12.933333333333334,6.733333333333333,4.533333333333333,7.4,4.333333333333333,2.466666666666667,3.8
SP1,2015-01-26,Getafe,Celta,1671.17,1721.4,2,1,1,2.05,0.47,16,12,17,21,0.2,0.2666666666666666,0.2666666666666666,0.0,0.486,1.128,0.4806666666666667,0.67,1.878,0.8746666666666667,1.9966666666666664,1.22,0.6,0.2666666666666666,0.4,0.0,2.066666666666667,1.0,1.8,1.2666666666666666,-0.1139999999999999,0.8613333333333333,1.4,1.4,1.6,1.4,0.67,1.92,2.333333333333333,2.0,8.0,9.0,1,1,0,-24,-20,-21,-17,0,4,20,2,8.133333333333333,11.4,2.2666666666666666,3.2,5.266666666666667,7.733333333333333,1.9333333333333331,4.066666666666666
I1,2015-01-26,Empoli,Udinese,1526.29,1599.65,1,2,2,1.78,0.71,16,13,19,24,0.7333333333333333,0.7333333333333333,1.1333333333333333,1.2666666666666666,0.8586666666666666,0.9193333333333332,1.036,1.0646666666666669,1.0233333333333334,1.0913333333333337,0.776,1.5313333333333332,0.1333333333333333,1.2666666666666666,0.1333333333333333,1.3333333333333333,0.4,1.5333333333333334,0.0666666666666666,1.4,0.7253333333333333,-0.3473333333333334,1.0,1.6,0.8,1.2,0.69,1.69,0.75,0.75,9.0,8.0,1,1,0,-15,-10,-12,-7,0,5,20,2,14.0,9.133333333333333,3.933333333333333,3.1333333333333333,7.133333333333334,4.466666666666667,1.7333333333333334,1.8666666666666667
I1,2015-01-26,Napoli,Genoa,1743.66,1605.08,2,1,1,2.94,0.57,5,7,33,28,2.0,0.5333333333333333,1.3333333333333333,0.9333333333333332,1.401333333333333,2.106666666666667,1.7046666666666668,1.4173333333333331,0.7739999999999999,2.244,1.108,1.9266666666666663,1.6666666666666667,1.8,1.8,1.6,1.1333333333333333,2.533333333333333,1.8,1.8,-0.2653333333333334,0.3066666666666668,2.6,0.2,2.2,0.8,1.79,0.52,2.2,2.0,8.0,8.0,1,1,0,-1,-6,2,-3,14,9,20,2,12.2,13.266666666666667,4.8,5.933333333333334,5.0,5.933333333333334,2.7333333333333334,2.4
D1,2015-01-30,Wolfsburg,Bayern Munich,1809.24,2060.95,4,1,1,2.18,1.92,2,1,34,45,2.066666666666667,3.0,2.466666666666667,2.8666666666666667,1.552,1.7713333333333334,1.904,1.7406666666666666,0.9446666666666668,0.304,0.6953333333333334,0.3653333333333333,1.8666666666666667,2.2,1.6,2.466666666666667,1.2,0.3333333333333333,0.6,0.3333333333333333,-0.3146666666666666,-0.4286666666666667,0.0,3.0,0.4,2.8,1.2,2.57,0.2,0.6,14.0,14.0,0,0,0,7,18,7,18,19,30,18,1,15.066666666666666,19.666666666666668,5.4,7.666666666666667,6.666666666666667,8.666666666666666,0.9333333333333332,0.2666666666666666
