4.2, 3.5, 2.0, 24.5, 25.4, 50.1, 1
1.22, 7.0, 15.0, 74.4, 17.5, 8.0, 0
3.0, 3.4, 2.5, 45.2, 25.3, 29.5, 1
2.9, 3.4, 2.6, 28.7, 30.1, 41.2, 0
1.85, 3.75, 4.5, 52.9, 25.3, 21.8, 1
2.4, 3.3, 3.3, 47.7, 29.8, 22.6, 1
3.4, 3.4, 2.3, 37.6, 23.8, 38.6, 0
1.4, 5.0, 9.0, 73.5, 18.4, 8.1, 1
5.0, 3.75, 1.8, 19.3, 23.4, 57.3, 0
4.33, 3.4, 1.91, 26.4, 28.6, 45.0, 0
8.0, 4.75, 1.4, 14.6, 24.3, 61.1, 0
2.7, 3.1, 2.8, 26.9, 30.5, 42.6, 1
2.0, 3.3, 4.0, 42.9, 30.3, 26.9, 0
1.8, 3.5, 4.75, 56.8, 24.8, 18.4, 0
2.3, 3.2, 3.3, 37.2, 30.1, 32.7, 0
3.75, 3.25, 2.1, 30.3, 29.8, 39.9, 2
4.5, 3.6, 1.91, 26.3, 24.3, 49.4, 2
2.25, 3.5, 3.4, 42.3, 25.1, 32.6, 1
2.05, 3.4, 4.2, 45.8, 29.6, 24.6, 0
1.2, 7.5, 17.0, 76.4, 17.1, 6.5, 0
4.5, 3.75, 1.85, 14.9, 20.0, 65.1, 1
2.2, 3.4, 3.6, 35.3, 27.6, 37.0, 0
3.5, 3.5, 2.2, 27.2, 30.0, 42.8, 0
1.57, 4.0, 6.0, 67.6, 20.1, 12.3, 0
1.75, 3.6, 5.0, 50.3, 26.4, 23.2, 1
1.75, 3.5, 5.0, 38.3, 28.4, 33.4, 1
1.44, 4.75, 8.0, 58.4, 22.9, 18.7, 0
1.83, 3.75, 4.75, 45.4, 28.9, 25.7, 2
1.91, 3.3, 4.5, 46.0, 30.5, 23.5, 2
4.5, 3.5, 1.85, 14.6, 22.9, 62.5, 2
2.75, 3.0, 2.88, 38.6, 29.2, 32.2, 0
1.91, 3.3, 4.5, 31.5, 36.7, 31.8, 1
2.4, 3.1, 3.2, 30.8, 33.1, 36.1, 2
1.62, 3.6, 6.5, 53.3, 25.0, 21.7, 0
4.5, 3.6, 1.91, 19.0, 24.5, 56.5, 2
6.0, 4.2, 1.62, 21.2, 26.2, 52.6, 2
7.0, 4.2, 1.55, 15.1, 22.7, 62.1, 2
1.62, 4.2, 6.0, 57.4, 26.0, 16.6, 0
3.3, 3.3, 2.38, 30.5, 30.9, 38.6, 2
1.18, 7.0, 17.0, 71.4, 19.7, 8.9, 0
3.0, 3.0, 2.6, 24.0, 31.8, 44.2, 1
1.44, 4.5, 7.5, 54.6, 27.4, 18.0, 0
1.75, 3.75, 5.25, 50.8, 26.5, 22.7, 0
1.8, 4.0, 4.5, 59.8, 22.4, 17.9, 2
1.85, 3.6, 4.75, 48.7, 28.4, 22.9, 1
3.5, 3.3, 2.15, 26.3, 28.4, 45.4, 0
19.0, 7.0, 1.17, 10.3, 20.0, 69.7, 2
